time(s),bpm
28.64,58.47
28.69,59.07
28.72,58.49
28.75,98.43
28.78,97.39
28.82,98.36
28.85,97.37
28.88,98.29
28.91,97.27
28.94,98.23
28.98,97.22
29.02,98.14
29.06,97.19
29.09,98.14
29.12,97.19
29.15,98.13
29.18,97.14
29.22,98.10
29.25,97.12
29.28,98.17
29.31,97.20
29.34,98.19
29.39,97.24
29.42,98.21
29.46,97.22
29.49,98.18
29.52,97.25
29.55,98.23
29.58,97.28
29.62,98.28
29.65,97.31
29.68,98.31
29.71,97.36
29.76,98.33
29.79,97.34
29.82,98.43
29.86,97.42
29.89,98.88
29.92,97.88
29.95,98.88
29.98,97.89
30.02,98.83
30.05,97.82
30.09,59.28
30.13,58.69
30.16,59.28
30.19,58.67
30.22,59.28
30.26,58.68
30.29,59.26
30.32,58.68
30.35,59.29
30.38,58.70
30.42,59.28
30.46,58.68
30.50,59.23
30.53,58.64
30.56,59.26
30.59,58.66
30.62,59.25
30.66,58.65
30.69,59.25
30.72,58.66
30.75,59.31
30.80,58.75
30.83,59.33
30.86,58.76
30.90,59.33
30.93,58.75
30.96,59.34
30.99,58.74
31.02,59.37
31.06,58.77
31.09,59.38
31.12,58.78
31.17,59.37
31.20,58.79
